structure_number,county,county_fips,owner_code,owner,facility_carried,feature_intersected,location,route_prefix,route_number,functional_class,lat,lon,coord_note,year_built,year_reconstructed,age_yrs,material,structure_type_code,service_under,over_water,n_main_spans,structure_len_m,deck_width_m,adt,adt_year,deck_cond,superstructure_cond,substructure_cond,culvert_cond,channel_cond,waterway_adequacy,scour_critical,condition,lowest_rating,fhwa_condition,condition_color,work_proposed_code,work_proposed,replacement_proposed,year_of_improvement,improvement_cost_k,inspection_date,nbi_year,parse_notes
000000000000326,Howard,061,1,State Highway Agency,US 70 - 03-8.99,HOLLEY CREEK,1.50 MI EAST JCT 4 & 70,2,,06,34.172492,-93.985542,,1955,,69,Concrete,01,Waterway,1,4,30.5,9.6,1499,2018,6,6,7,,6,7,8,Fair,6,Fair,#f9a825,,,0,,,423,2024,
000000000000443,Howard,061,1,State Highway Agency,US 371 -02 - 8.74,DILLARD CREEK,2.3 MI W OF NASHVILLE,2,,06,33.949603,-93.912758,,1928,1993,96,Concrete,04,Waterway,1,3,27.4,13.0,3200,2018,7,7,6,,8,7,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,433,422,2024,
000000000000444,Howard,061,1,State Highway Agency,US 371 -02- 5.85,BLUE BAYOU,5.75 MI W OF NASHVILLE,2,,06,33.951267,-93.963097,,1928,1993,96,Concrete,04,Waterway,1,5,48.8,13.1,2800,2018,7,7,7,,6,8,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,519,422,2024,
000000000000446,Howard,061,1,State Highway Agency,US 371 -02 - 0.91,PRAIRIE CREEK,10.75 MI W OF NASHVILLE,2,,06,33.963528,-94.046531,,1928,1993,96,Concrete,04,Waterway,1,3,27.7,13.1,2800,2018,7,7,7,,7,7,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,434,422,2024,
000000000000358,Johnson,071,1,State Highway Agency,US 64,Little Spadra,12.21 M E Franklin Co L,2,,16,35.472778,-93.507539,,1929,1955,95,Concrete,04,Waterway,1,2,21.3,9.6,6998,2018,7,7,6,,7,8,8,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,643,922,2024,
000000000000355,Logan,083,1,State Highway Agency,SH 22-Logan Co.,Six Mile Creek Relief,3.54 MI E OF FRANKLIN CO,3,,06,35.301381,-93.857278,,1928,1957,96,Concrete continuous,04,Waterway,1,10,110.3,9.5,4800,2018,5,4,6,,8,8,8,Poor,4,Poor,#c62828,,,0,,,623,2024,
000000000000356,Logan,083,1,State Highway Agency,State Highway 22,Six Mile Creek-Logan Co.,0.5 MI E JCT SH 23,3,,06,35.301681,-93.854783,,1928,1957,96,Steel,02,Waterway,1,1,46.6,9.4,4800,2018,5,6,6,,7,8,8,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,954,822,2024,
000000000000378,Logan,083,1,State Highway Agency,State Highway 22,Gack Creek-Logan Co.,6.64 MI E of Franklin Co.,3,,06,35.297161,-93.803078,,1928,1957,96,Concrete,04,Waterway,1,1,9.1,12.8,4800,2018,7,6,6,,6,8,8,Fair,6,Fair,#f9a825,,,0,,,622,2024,
000000000000381,Logan,083,1,State Highway Agency,State Highway 22,Mine Brook-Logan Co.,10.19 MI E OF FRANKLIN CO,3,,06,35.292178,-93.741386,,1928,1957,96,Concrete,04,Waterway,1,1,9.1,12.8,7000,2018,6,6,6,,7,8,8,Fair,6,Fair,#f9a825,,,0,,,622,2024,
000000000000382,Logan,083,1,State Highway Agency,State Highway 22,Short Mountain Creek,10.35 MI E OF FRANKLIN CO,3,,06,35.292069,-93.738486,,1928,1957,96,Steel,02,Waterway,1,1,79.9,9.4,7000,2018,6,4,5,,7,8,8,Poor,4,Poor,#c62828,,,0,,,723,2024,
